STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,POLLUTANT,Pollutants,FLIGHT_TYPE,Flight type,EMISSIONS_SOURCE,Emissions,METHODOLOGY,Methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CLASSIFICATION,Classification,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2015,,639895.065040688,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2014,,569147.663128498,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2018,,1008237.1295902,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2017,,994222.066309427,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2016,,818081.682126837,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2013,,564431.588464826,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2020,,343622.057324018,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2024,,317314.961253037,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2021,,383253.072542784,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AIR_TRANSPORT@DF_AIR_TRANSPORT(1.1),Air transport emissions (experimental),I,ROU,Romania,A,Annual,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,P,Passenger flights,RES_TOTAL,Air emissions accounts: air transport,EMISSIONS_SEEA,SEEA (residence principle),2019,,1003287.42420025,,,,0,Units,A_B_D_E_F,(A+B+D+E+F),0,Zero
