Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,50305.3545774973,51314.9722616322,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468,58268.8787651601
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46964.5946777056,47995.7786961339,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50605.7496677086,55291.4754541329,56614.5679499036
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7795.98092108928,8069.60005667684,7268.65445473873,7822.49923292968,8696.68930427924,9849.38397225174,10353.7204584127,10760.211975413,12966.1457543396,13999.1949530956,15853.208636704,17596.0173663521
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,14134.9474982889,14186.7295493276,12283.7840620053,12820.1653893008,13901.7878144679,15460.3669595491,15563.5987295029,14807.5608543265,17788.7865816658,18465.5414420364,22184.2279304842,24050.4397933135
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,20260.4954999375,20038.4163180257,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31761.5944102491,31823.3078290564
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61377.5940590412,62520.4509747011,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69340.7334922138,67781.0940939514,68043.5466971243,71026.4832271897
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,19310.3874900757,20581.7898991695,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27951.1659277744,28340.3826549406,30264.0064885057,31428.3547816104
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,49691.0145200739,50073.7760815871,42560.3456767103,43451.2562442158,46085.0174739036,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148,50440.560224974,52834.2916752703,53149.7671934051
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,42669.1795111893,43148.0459288416,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,40988.6396406579,44700.1384177544,46103.0840855884
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,47206.8353514242,48959.5991203133,41929.7549110722,42948.9381932694,45553.9341495339,48916.1686612154,47656.199739747,47394.8734504469,52349.2459994422,50506.5179638543,54776.7668235491,56103.7323182554
