DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-01,1762653,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-02,1733910,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-03,2150535,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-04,2029996,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-05,2239011,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-06,2408193,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-07,2513804,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-08,2537606,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-09,2451674,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-10,2230866,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-11,1817948,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2013-12,1873528,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-01,1807004,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-02,1779141,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-03,2108523,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-04,2189347,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-05,2330573,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-06,2483100,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-07,2571197,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-08,2645521,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-09,2519181,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-10,2267695,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-11,1806834,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2014-12,1870560,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-01,1751044,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-02,1718104,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-03,2100017,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-04,2182653,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-05,2363428,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-06,2520214,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-07,2739213,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-08,2775665,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-09,2622134,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-10,2279362,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-11,1843174,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2015-12,1858999,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-01,1770425,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-02,1780026,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-03,2151897,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-04,2099280,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-05,2373298,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-06,2450672,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-07,2776608,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-08,2723254,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-09,2665489,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-10,2398405,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-11,1946072,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2016-12,2046085,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-01,1887141,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-02,1867912,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-03,2198600,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-04,2425716,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-05,2497696,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-06,2614609,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-07,2871073,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-08,2807833,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-09,2734285,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-10,2424628,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-11,1947157,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2017-12,2050629,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-01,1905331,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-02,1937152,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-03,2404430,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-04,2442085,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-05,2585884,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-06,2822571,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-07,3085491,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-08,3143286,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-09,3028317,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-10,2842107,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-11,2396286,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2018-12,2545477,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-01,2285034,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-02,2349892,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-03,2871838,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-04,2978376,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-05,3038394,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-06,3314289,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-07,3504875,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-08,3511121,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-09,3306004,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-10,3095301,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-11,2591272,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2019-12,2797792,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-01,2559973,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-02,2536893,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-03,1006487,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-04,12868,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-05,21197,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-06,141631,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-07,612959,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-08,854823,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-09,604214,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-10,403375,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-11,182929,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2020-12,231082,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-01,200480,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-02,159877,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-03,216215,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-04,272564,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-05,404322,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-06,753663,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-07,1585758,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-08,1921071,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-09,1708036,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-10,1673955,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-11,1182741,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2021-12,1026882,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-01,1011765,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-02,1149226,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-03,1553838,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-04,1965357,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-05,2306459,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-06,2641141,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-07,3026295,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-08,3028144,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-09,2880926,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-10,2609911,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-11,2021789,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2022-12,2186329,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-01,2043922,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-02,2017210,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-03,2462040,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-04,2688959,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-05,2926011,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-06,3107728,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-07,3450927,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-08,3418149,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-09,3219301,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-10,2958716,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-11,2275931,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers carried,Total transport,Total,Austria,2023-12,2494272,,
