Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Austria,AUT,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982
"Population, total",SP.POP.TOTL,Belgium,BEL,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11779946,11858610
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6441421
"Population, total",SP.POP.TOTL,Croatia,HRV,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866200
"Population, total",SP.POP.TOTL,Cyprus,CYP,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282
"Population, total",SP.POP.TOTL,Czechia,CZE,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10905028
"Population, total",SP.POP.TOTL,Denmark,DNK,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992
"Population, total",SP.POP.TOTL,Estonia,EST,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1372341
"Population, total",SP.POP.TOTL,Finland,FIN,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5619911
"Population, total",SP.POP.TOTL,France,FRA,65997932,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68184457,68372286,68551653
"Population, total",SP.POP.TOTL,Germany,DEU,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83177813,83287273,83516593
"Population, total",SP.POP.TOTL,Greece,GRC,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10407351,10405134
"Population, total",SP.POP.TOTL,Hungary,HUN,9872734,9833038,9797755,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562065
"Population, total",SP.POP.TOTL,Ireland,IRL,4623816,4657740,4701957,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5311538,5395790
"Population, total",SP.POP.TOTL,Italy,ITA,60311613,60320707,60229605,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58984216,58952704
"Population, total",SP.POP.TOTL,Latvia,LVA,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1883710,1866124
"Population, total",SP.POP.TOTL,Lithuania,LTU,2961250,2937253,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888278
"Population, total",SP.POP.TOTL,Luxembourg,LUX,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103,666430,677012
"Population, total",SP.POP.TOTL,Malta,MLT,424810,433481,444220,454505,467106,483903,503912,515490,518150,531113,552747,568847
"Population, total",SP.POP.TOTL,Netherlands,NLD,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117,17993485
"Population, total",SP.POP.TOTL,Poland,POL,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353,36559233
"Population, total",SP.POP.TOTL,Portugal,PRT,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174,10694681
"Population, total",SP.POP.TOTL,Romania,ROU,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19061062,19051804
"Population, total",SP.POP.TOTL,Slovenia,SVN,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461,2127400
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069
"Population, total",SP.POP.TOTL,Spain,ESP,46604197,46460733,46422303,46458139,46571232,46782011,47118501,47359424,47443821,47786102,48352528,48848840
"Population, total",SP.POP.TOTL,Sweden,SWE,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,10569709
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,
