country,year,predicted,model
Austria,2025,2945527.0453737434,LR
Belgium,2025,2002999.2205716502,LR
Bulgaria,2025,0.0,LR
Croatia,2025,0.0,LR
Cyprus,2025,0.0,LR
Czech Republic,2025,799246.3102645027,LR
Denmark,2025,1713569.4388724985,LR
Estonia,2025,33568.24056774471,LR
Finland,2025,2443583.0006640395,LR
France,2025,15656331.552931309,LR
Germany,2025,18874164.44296813,LR
Greece,2025,1477365.0105439904,LR
Hungary,2025,2405333.248699804,LR
Ireland,2025,14203757.31237249,LR
Italy,2025,4126308.423885605,LR
Latvia,2025,843572.7409532983,LR
Lithuania,2025,20510.309269198682,LR
Luxembourg,2025,1248482.2079965821,LR
Malta,2025,3691561.358425148,LR
Netherlands,2025,8301931.6457702825,LR
Poland,2025,4298141.136095624,LR
Portugal,2025,4309019.086644884,LR
Romania,2025,525038.750481023,LR
Slovak Republic,2025,71307.02648846246,LR
Slovenia,2025,161131.44383030292,LR
Spain,2025,12780592.056707975,LR
Sweden,2025,2701365.399064116,LR
Austria,2026,3341611.7183857393,LR
Belgium,2026,2272894.8465072084,LR
Bulgaria,2026,7774.002313523553,LR
Croatia,2026,60232.923774779774,LR
Cyprus,2026,185823.7531196028,LR
Czech Republic,2026,881605.238525366,LR
Denmark,2026,1975367.0852390777,LR
Estonia,2026,171488.99985189177,LR
Finland,2026,2484031.9256589273,LR
France,2026,14981072.218185965,LR
Germany,2026,17816202.298456267,LR
Greece,2026,1489311.0639197459,LR
Hungary,2026,2754358.2569626514,LR
Ireland,2026,13438907.228770021,LR
Italy,2026,4484892.779329143,LR
Latvia,2026,833811.6819940303,LR
Lithuania,2026,257553.47635711264,LR
Luxembourg,2026,2276359.809526331,LR
Malta,2026,3023556.9519386445,LR
Netherlands,2026,8098653.839628834,LR
Poland,2026,4381219.658414263,LR
Portugal,2026,4107440.716271568,LR
Romania,2026,891881.5152772809,LR
Slovak Republic,2026,356576.38622872625,LR
Slovenia,2026,489508.0743301525,LR
Spain,2026,11898078.065217335,LR
Sweden,2026,2959288.4307121355,LR
Austria,2027,3763219.04298308,LR
Belgium,2027,2804083.8180518947,LR
Bulgaria,2027,440598.40961943055,LR
Croatia,2027,525631.8038519775,LR
Cyprus,2027,676567.1106226756,LR
Czech Republic,2027,1413930.6005219761,LR
Denmark,2027,2617092.9929291923,LR
Estonia,2027,660589.3099081437,LR
Finland,2027,3023082.746152522,LR
