country,date,year,month,predicted,model
Latvia,2025-01,2025,1,541326.8145094835,LR
Latvia,2025-02,2025,2,611167.9679726935,LR
Latvia,2025-03,2025,3,847327.7760219448,LR
Latvia,2025-04,2025,4,1081214.2481457046,LR
Latvia,2025-05,2025,5,1338977.6893948657,LR
Latvia,2025-06,2025,6,1541599.5588172844,LR
Latvia,2025-07,2025,7,1698113.1548545598,LR
Latvia,2025-08,2025,8,1701279.0016367342,LR
Latvia,2025-09,2025,9,1574226.3027770778,LR
Latvia,2025-10,2025,10,1448605.2269325973,LR
Latvia,2025-11,2025,11,1224626.6865265402,LR
Latvia,2025-12,2025,12,1136351.7111083,LR
Latvia,2025-01,2025,1,538028.8507310397,RF
Latvia,2025-02,2025,2,515937.604183894,RF
Latvia,2025-03,2025,3,541785.8863533736,RF
Latvia,2025-04,2025,4,601470.2899995656,RF
Latvia,2025-05,2025,5,686738.2320390322,RF
Latvia,2025-06,2025,6,832652.804126105,RF
Latvia,2025-07,2025,7,917628.6880792626,RF
Latvia,2025-08,2025,8,932567.042619989,RF
Latvia,2025-09,2025,9,902168.2424883412,RF
Latvia,2025-10,2025,10,841987.912437268,RF
Latvia,2025-11,2025,11,695351.9498202162,RF
Latvia,2025-12,2025,12,686172.570755305,RF
Latvia,2025-01,2025,1,491586.15625,XGB
Latvia,2025-02,2025,2,485870.34375,XGB
Latvia,2025-03,2025,3,542363.125,XGB
Latvia,2025-04,2025,4,604468.4375,XGB
Latvia,2025-05,2025,5,699766.9375,XGB
Latvia,2025-06,2025,6,804482.375,XGB
Latvia,2025-07,2025,7,905840.375,XGB
Latvia,2025-08,2025,8,883624.0625,XGB
Latvia,2025-09,2025,9,770086.6875,XGB
Latvia,2025-10,2025,10,662341.625,XGB
Latvia,2025-11,2025,11,507000.1875,XGB
Latvia,2025-12,2025,12,523514.21875,XGB
