country,year,predicted,model
Austria,2025,26331180.78605611,LR
Belgium,2025,28386204.299651068,LR
Bulgaria,2025,6685717.621594235,LR
Croatia,2025,7109213.884003829,LR
Cyprus,2025,5792039.971808381,LR
Czech Republic,2025,15171643.77727355,LR
Denmark,2025,26284084.90467763,LR
Estonia,2025,158569.58738683164,LR
Finland,2025,13533846.293765504,LR
France,2025,155263070.05567375,LR
Germany,2025,186714795.00611418,LR
Greece,2025,53437555.99651301,LR
Hungary,2025,15461855.574958812,LR
Ireland,2025,32948029.000047598,LR
Italy,2025,159774173.38459077,LR
Latvia,2025,3815018.180025436,LR
Lithuania,2025,4692048.897445157,LR
Luxembourg,2025,6963589.094948892,LR
Malta,2025,5658056.739010543,LR
Netherlands,2025,64807687.79619689,LR
Poland,2025,59210445.6743824,LR
Portugal,2025,49990392.91444093,LR
Romania,2025,27202701.89907594,LR
Slovak Republic,2025,4272113.011766866,LR
Slovenia,2025,2048714.1517558545,LR
Spain,2025,212605791.43047178,LR
Sweden,2025,28019821.90751597,LR
Austria,2026,24356680.616458226,LR
Belgium,2026,27708150.54215013,LR
Bulgaria,2026,7522140.279601313,LR
Croatia,2026,6304165.75740831,LR
Cyprus,2026,5017492.462866835,LR
Czech Republic,2026,17045121.033852633,LR
Denmark,2026,23676507.163772188,LR
Estonia,2026,1238676.9747952,LR
Finland,2026,14382125.899035085,LR
France,2026,154359548.96595404,LR
Germany,2026,184516875.472089,LR
Greece,2026,43867640.8239935,LR
Hungary,2026,17156864.06006617,LR
Ireland,2026,32142691.146138575,LR
Italy,2026,147552612.66564295,LR
Latvia,2026,5259381.560115777,LR
Lithuania,2026,7077828.66153596,LR
Luxembourg,2026,12559521.955273293,LR
Malta,2026,7110159.132536817,LR
Netherlands,2026,60906006.95369348,LR
Poland,2026,65631433.067720026,LR
Portugal,2026,44714714.23834553,LR
Romania,2026,33710815.8419541,LR
Slovak Republic,2026,9532995.188879844,LR
Slovenia,2026,6511602.230195373,LR
Spain,2026,180289342.24414188,LR
Sweden,2026,31750311.659615345,LR
Austria,2027,31077273.993914276,LR
Belgium,2027,34532487.23082942,LR
Bulgaria,2027,13957101.750863798,LR
Croatia,2027,12398198.568588074,LR
Cyprus,2027,11168038.072903316,LR
Czech Republic,2027,24529273.637683544,LR
Denmark,2027,30005763.687005267,LR
Estonia,2027,7552436.580205452,LR
Finland,2027,21096485.492765028,LR
France,2027,165015861.28624105,LR
Germany,2027,196668079.08097488,LR
Greece,2027,48293216.93023248,LR
Hungary,2027,24333217.78710565,LR
Ireland,2027,39398061.55743225,LR
Italy,2027,157114111.11294025,LR
Latvia,2027,11819281.238612533,LR
Lithuania,2027,13927347.348142296,LR
Luxembourg,2027,20519656.418214425,LR
Malta,2027,13977562.134565681,LR
Netherlands,2027,68060570.37542258,LR
Poland,2027,76099070.0634956,LR
Portugal,2027,51008496.224889226,LR
Romania,2027,42390581.07225259,LR
